'RawData - Storage 161900 - 0.5ml.spc'
'Wavelength nm.','Abs.'
760.50,0.059
761.00,0.059
761.50,0.059
762.00,0.059
762.50,0.059
763.00,0.058
763.50,0.058
764.00,0.058
764.50,0.058
765.00,0.058
765.50,0.058
766.00,0.057
766.50,0.057
767.00,0.057
767.50,0.057
768.00,0.057
768.50,0.057
769.00,0.056
769.50,0.056
770.00,0.056
770.50,0.056
771.00,0.056
771.50,0.056
772.00,0.056
772.50,0.055
773.00,0.055
773.50,0.055
774.00,0.055
774.50,0.055
775.00,0.055
775.50,0.054
776.00,0.054
776.50,0.054
777.00,0.054
777.50,0.054
778.00,0.054
778.50,0.054
779.00,0.054
779.50,0.053
780.00,0.053
780.50,0.053
781.00,0.053
781.50,0.053
782.00,0.053
782.50,0.053
783.00,0.053
783.50,0.052
784.00,0.052
784.50,0.052
785.00,0.052
785.50,0.052
786.00,0.052
786.50,0.052
787.00,0.052
787.50,0.051
788.00,0.051
788.50,0.051
789.00,0.051
789.50,0.051
790.00,0.051
790.50,0.051
791.00,0.051
791.50,0.051
792.00,0.050
792.50,0.050
793.00,0.050
793.50,0.050
794.00,0.050
794.50,0.050
795.00,0.050
795.50,0.050
796.00,0.050
796.50,0.050
797.00,0.049
797.50,0.049
798.00,0.049
798.50,0.049
799.00,0.049
799.50,0.049
800.00,0.049
